(libcudf-tutorial) jazracherif@spark-d5e1:~/code/nvidia/libcudf_tutorial$ nsys stats --report nvtx_pushpop_trace reports/libcudf_groupby.nsys-rep

NOTICE: Existing SQLite export found: reports/libcudf_groupby.sqlite
        It is assumed file was previously exported from: reports/libcudf_groupby.nsys-rep
        Consider using --force-export=true if needed.

Processing [reports/libcudf_groupby.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-armv8/reports/nvtx_pushpop_trace.py]... 

 ** NVTX Push/Pop Range Trace (nvtx_pushpop_trace):

 Start (ns)    End (ns)    Duration (ns)  DurChild (ns)  DurNonChild (ns)                                                  Name                                                   PID     TID    Lvl  NumChild  RangeId  ParentId     RangeStack                                                    NameTree                                              
 894,011,744  894,022,496         10,752              0            10,752  CCCL:cub::DeviceReduce::TransformReduce                                                               14,875  14,875    2         0       76        73  :2:73:76           ----CCCL:cub::DeviceReduce::TransformReduce                                                         
 894,056,080  895,208,864      1,152,784              0         1,152,784  CCCL:cub::DeviceReduce::Reduce                                                                        14,875  14,875    1         0       77         2  :2:77              --CCCL:cub::DeviceReduce::Reduce                                                                    
 895,243,872  895,259,040         15,168              0            15,168  CCCL:thrust::transform                                                                                14,875  14,875    1         0       78         2  :2:78              --CCCL:thrust::transform                                                                            
 895,407,664  901,436,368      6,028,704      5,593,632           435,072  libcudf:decompress_page_data                                                                          14,875  14,875    1         3       79         2  :2:79              --libcudf:decompress_page_data                                                                      
 895,444,704  895,457,296         12,592              0            12,592  CCCL:uninitialized_fill                                                                               14,875  14,875    2         0       80        79  :2:79:80           ----CCCL:uninitialized_fill                                                                         
 895,460,112  901,008,640      5,548,528      5,196,560           351,968  libcudf:decompress                                                                                    14,875  14,875    2         5       81        79  :2:79:81           ----libcudf:decompress                                                                              
 895,464,736  897,477,760      2,013,024      1,935,072            77,952  libcudf:sort_tasks                                                                                    14,875  14,875    3         5       82        81  :2:79:81:82        ------libcudf:sort_tasks                                                                            
 895,468,400  896,560,656      1,092,256      1,090,048             2,208  CCCL:thrust::sequence                                                                                 14,875  14,875    4         1       83        82  :2:79:81:82:83     --------CCCL:thrust::sequence                                                                       
 895,468,960  896,559,008      1,090,048              0         1,090,048  CCCL:thrust::tabulate                                                                                 14,875  14,875    5         0       84        83  :2:79:81:82:83:84  ----------CCCL:thrust::tabulate                                                                     
 896,577,376  896,594,960         17,584              0            17,584  CCCL:thrust::transform                                                                                14,875  14,875    4         0       85        82  :2:79:81:82:85     --------CCCL:thrust::transform                                                                      
 896,600,960  897,321,216        720,256              0           720,256  CCCL:thrust::sort                                                                                     14,875  14,875    4         0       86        82  :2:79:81:82:86     --------CCCL:thrust::sort                                                                           
 897,356,640  897,432,960         76,320              0            76,320  CCCL:thrust::gather                                                                                   14,875  14,875    4         0       87        82  :2:79:81:82:87     --------CCCL:thrust::gather                                                                         
 897,437,408  897,466,064         28,656              0            28,656  CCCL:thrust::gather                                                                                   14,875  14,875    4         0       88        82  :2:79:81:82:88     --------CCCL:thrust::gather                                                                         
 897,503,760  897,504,032            272              0               272  libcudf:split_tasks                                                                                   14,875  14,875    3         0       89        81  :2:79:81:89        ------libcudf:split_tasks                                                                           
 897,539,984  900,687,424      3,147,440        973,680         2,173,760  libcudf:device_decompress                                                                             14,875  14,875    3         3       90        81  :2:79:81:90        ------libcudf:device_decompress                                                                     
 897,560,064  898,500,608        940,544              0           940,544  CCCL:thrust::transform                                                                                14,875  14,875    4         0       91        90  :2:79:81:90:91     --------CCCL:thrust::transform                                                                      
 898,505,728  898,521,232         15,504              0            15,504  CCCL:thrust::transform                                                                                14,875  14,875    4         0       92        90  :2:79:81:90:92     --------CCCL:thrust::transform                                                                      
 900,438,336  900,455,968         17,632         15,600             2,032  CCCL:thrust::transform_if                                                                             14,875  14,875    4         1       93        90  :2:79:81:90:93     --------CCCL:thrust::transform_if                                                                   
 900,439,952  900,455,552         15,600              0            15,600  CCCL:cub::DeviceFor::Bulk                                                                             14,875  14,875    5         0       94        93  :2:79:81:90:93:94  ----------CCCL:cub::DeviceFor::Bulk                                                                 
 900,694,080  900,694,256            176              0               176  libcudf:host_decompress                                                                               14,875  14,875    3         0       95        81  :2:79:81:95        ------libcudf:host_decompress                                                                       
 900,707,184  900,742,832         35,648              0            35,648  CCCL:thrust::scatter                                                                                  14,875  14,875    3         0       96        81  :2:79:81:96        ------CCCL:thrust::scatter                                                                          
 901,343,072  901,375,584         32,512              0            32,512  CCCL:cub::DeviceReduce::TransformReduce                                                               14,875  14,875    2         0       97        79  :2:79:97           ----CCCL:cub::DeviceReduce::TransformReduce                                                         
 901,446,576  905,156,320      3,709,744      3,377,248           332,496  libcudf:build_string_dict_indices                                                                     14,875  14,875    1         5       98         2  :2:98              --libcudf:build_string_dict_indices                                                                 
 901,452,064  902,442,224        990,160              0           990,160  CCCL:thrust::fill                                                                                     14,875  14,875    2         0       99        98  :2:98:99           ----CCCL:thrust::fill                                                                               
 902,444,896  904,113,936      1,669,040      1,667,792             1,248  CCCL:thrust::for_each                                                                                 14,875  14,875    2         1      100        98  :2:98:100          ----CCCL:thrust::for_each                                                                           
 902,445,792  904,113,584      1,667,792              0         1,667,792  CCCL:cub::DeviceFor::ForEachN                                                                         14,875  14,875    3         0      101       100  :2:98:100:101      ------CCCL:cub::DeviceFor::ForEachN                                                                 
 904,128,448  904,678,720        550,272              0           550,272  CCCL:cub::DeviceReduce::Reduce                                                                        14,875  14,875    2         0      102        98  :2:98:102          ----CCCL:cub::DeviceReduce::Reduce                                                                  
 904,839,008  904,994,752        155,744              0           155,744  CCCL:thrust::exclusive_scan                                                                           14,875  14,875    2         0      103        98  :2:98:103          ----CCCL:thrust::exclusive_scan                                                                     
 905,004,256  905,016,288         12,032         11,184               848  CCCL:thrust::for_each                                                                                 14,875  14,875    2         1      104        98  :2:98:104          ----CCCL:thrust::for_each                                                                           
 905,004,672  905,015,856         11,184              0            11,184  CCCL:cub::DeviceFor::ForEachN                                                                         14,875  14,875    3         0      105       104  :2:98:104:105      ------CCCL:cub::DeviceFor::ForEachN                                                                 
 905,179,824  908,188,144      3,008,320      1,533,984         1,474,336  libcudf:preprocess_subpass_pages                                                                      14,875  14,875    1         6      106         2  :2:106             --libcudf:preprocess_subpass_pages                                                                  
 905,193,056  906,283,296      1,090,240              0         1,090,240  CCCL:cub::DeviceReduce::TransformReduce                                                               14,875  14,875    2         0      107       106  :2:106:107         ----CCCL:cub::DeviceReduce::TransformReduce                                                         
 906,425,376  906,575,456        150,080              0           150,080  CCCL:thrust::exclusive_scan_by_key                                                                    14,875  14,875    2         0      108       106  :2:106:108         ----CCCL:thrust::exclusive_scan_by_key                                                              
 906,579,760  906,593,088         13,328              0            13,328  CCCL:thrust::transform                                                                                14,875  14,875    2         0      109       106  :2:106:109         ----CCCL:thrust::transform                                                                          
 906,596,960  906,717,456        120,496              0           120,496  CCCL:thrust::exclusive_scan                                                                           14,875  14,875    2         0      110       106  :2:106:110         ----CCCL:thrust::exclusive_scan                                                                     
 906,723,056  906,882,544        159,488              0           159,488  CCCL:cub::DeviceReduce::Reduce                                                                        14,875  14,875    2         0      111       106  :2:106:111         ----CCCL:cub::DeviceReduce::Reduce                                                                  
 908,187,728  908,188,080            352              0               352  libcudf:compute_output_chunks_for_subpass                                                             14,875  14,875    2         0      112       106  :2:106:112         ----libcudf:compute_output_chunks_for_subpass                                                       
 908,195,632  914,692,976      6,497,344      6,159,936           337,408  libcudf:read_chunk_internal                                                                           14,875  14,875    1         7      113         2  :2:113             --libcudf:read_chunk_internal                                                                       
 908,351,984  908,363,488         11,504              0            11,504  CCCL:cub::DeviceReduce::TransformReduce                                                               14,875  14,875    2         0      114       113  :2:113:114         ----CCCL:cub::DeviceReduce::TransformReduce                                                         
 908,518,464  908,967,648        449,184        392,160            57,024  libcudf:allocate_columns                                                                              14,875  14,875    2         1      115       113  :2:113:115         ----libcudf:allocate_columns                                                                        
 908,574,464  908,966,624        392,160         33,872           358,288  libcudf:batched_memset                                                                                14,875  14,875    3         1      116       115  :2:113:115:116     ------libcudf:batched_memset                                                                        
